id,providerName,providerErpId,providerCode,createTime,updateTime,yn,OWN_SIGN,providerAccount,STS,DRES,GODS
1,京东商城,0,0,2011-05-10 13:59:36.723,2011-12-09 11:11:26.723,1,NOSIGN,0,B,B,B
4,深圳市好利得科技有限公司,3424,szhldkj,2011-05-12 14:34:55.027,2011-11-02 16:54:27.133,1,BASE,szhldkj,N,B,B
5,深圳铭键电子有限公司,4614,szmjdz,2011-05-13 07:51:54.303,2011-11-02 16:53:48.593,1,BASE,szmjdz,N,B,B
6,深圳市鹏力天电子科技有限公司,6865,szsplt,2011-05-13 08:57:30.077,2011-07-07 18:56:45.603,1,BASE,szsplt,Y,B,B
8,深圳普联,2944,szpljs,2011-05-13 10:08:44.530,2011-07-07 18:56:38.490,1,BASE,szpljs,Y,B,B
9,北京蒙恬世纪数码科技有限公司,447,bjmtsj,2011-05-13 10:45:02.630,2011-07-07 18:56:31.337,1,BASE,bjmtsj,Y,B,B
10,图书管理,4757,bk0002,2011-05-27 10:03:55.557,2011-08-04 17:35:21.330,1,BASE,bk0002,B,B,B
11,北京天润众和科技有限公司,3882,bjtrzhhkj,2011-06-07 16:35:03.560,2011-11-02 16:54:57.047,1,BASE,bjtrzhhkj,N,B,B
12,爱国者数码科技有限公司 ,1103,bjhqzx,2011-06-10 15:10:46.410,2011-07-07 19:01:45.377,1,BASE,aigo,Y,B,B
14,京东商城图书,-1713,0,2011-06-15 09:52:54.003,2011-07-25 15:08:09.407,1,BASE,0,B,B,B
18,北京宝铭汇通科技有限公司,4745,bjbmht,2011-06-21 19:26:07.213,2011-11-02 16:59:18.377,1,BASE,bjbmht,N,B,B
20,深圳市中远航科技有限公司,4396,szzyh,2011-07-05 14:11:47.417,2011-07-07 18:56:11.260,1,BASE,szzyh,N,B,B
22,联强国际贸易（中国）有限公司北京分公司,7972,lqgjbj,2011-07-05 20:46:14.993,2011-11-02 17:00:40.793,1,BASE,lqgjbj,N,B,B
23,惠州市赛洛特通讯有限责任公司,6847,hzsslt,2011-07-06 15:54:51.707,2011-07-25 17:42:27.640,1,BASE,hzsslt,N,B,B
24,深圳市多彩实业有限公司,4205,shzhshdcshy,2011-07-08 14:52:53.363,2011-11-02 16:59:43.923,1,BASE,shzhshdcshy,N,B,B
25,惠州客音商务服务有限公司 ,3950,hzkysw,2011-07-19 11:19:48.227,2011-07-19 11:19:48.227,1,BASE,hzkysw,B,B,B
26,深圳市天音通信发展有限公司,5991,szsty,2011-07-28 14:26:53.263,2011-07-28 14:26:53.263,1,BASE,szsty,B,B,B
27,北京腾龙时代通信技术有限责任公司,104,bjtlsd,2011-07-28 14:27:25.697,2011-07-28 14:27:25.697,1,BASE,bjtlsd,B,B,B
28,北京普天太力通信科技有限公司,4041,bjpttltxkj,2011-07-28 16:07:06.193,2011-07-28 16:07:06.193,1,BASE,bjpttltxkj,B,B,B
29,北京汉王信息技术开发有限公司,5513,bjhwxxjs,2011-08-02 15:31:20.800,2011-11-02 16:55:28.570,1,BASE,bjhwxxjs,N,B,B
30,广州凯网电子有限公司,5005,gzkwdz,2011-08-03 10:17:47.420,2011-11-02 17:00:08.820,1,BASE,gzkwdz,N,B,B
31,上海世纪出版股份有限公司,4785,bk0001,2011-08-04 17:32:44.393,2011-08-04 17:34:54.740,1,BASE,bk0001,B,B,B
32,飞毛腿电池有限公司,3809,fmtdc,2011-08-23 16:52:39.853,2011-08-23 17:19:12.927,1,BASE,fmtdc,B,B,B
33,北京佳禾荟柏科技发展有限公司,9924,bjjhhb,2011-08-24 17:39:50.117,2011-10-20 10:01:18.550,1,BASE,bjjhhb,B,B,B
34,佛山市伟仕达电器实业有限公司,8213,fsswsd,2011-08-24 19:48:00.917,2011-11-01 16:13:07.363,1,BASE,,B,B,B
35,北京万家通电讯设备有限公司,166,bjwjt,2011-08-29 09:36:10.103,2011-11-02 16:58:51.310,1,BASE,bjwjt,B,B,B
36,宁波先锋电器制造有限公司,3610,nbxfdq,2011-08-29 09:54:22.937,2011-11-15 16:05:38.130,1,BASE,nbxfdq,B,B,B
37,北京利仁科技有限责任公司,6948,bjlrkj,2011-08-29 09:56:26.230,2011-11-09 14:30:43.240,1,BASE,bjlrkj,B,B,B
38,北京洁美乐百货有限公司,177,bjjml,2011-08-29 10:34:14.823,2011-11-02 16:58:15.673,1,BASE,bjjml,B,B,B
39,合肥荣事达小家电有限公司,8214,hfrsdxjd,2011-08-29 10:36:34.530,2011-11-02 16:57:45.460,1,BASE,hfrsdxjd,B,B,B
40,广东志高空调有限公司,4014,gzzgkt ,2011-09-09 10:06:41.980,2011-09-09 10:06:41.980,1,BASE,gzzgkt ,B,B,B
41,科沃斯电器有限公司,5525,kwsdq,2011-09-09 13:29:57.790,2011-09-09 13:29:57.790,1,BASE,kwsdq,B,B,B
42,广东小熊电器有限公司,6642,gdxxdq,2011-09-09 13:34:59.947,2011-09-09 13:34:59.947,1,BASE,gdxxdq,B,B,B
43,佛山艾诗凯奇电气有限公司,6641,fsaskq,2011-09-09 13:40:28.160,2011-09-09 13:40:28.160,1,BASE,fsaskq,B,B,B
44,佛山市顺德区盛熙电器制造有限公司,3786,fssdsx,2011-09-09 13:48:46.783,2011-09-09 13:48:46.783,1,BASE,fssdsx,B,B,B
45,北京新歌时代商贸有限责任公司,1145,bjxgsd,2011-09-14 09:29:01.697,2011-09-14 09:29:01.697,1,BASE,bjxgsd,B,B,B
46,北京佳之兴商业有限公司,3411,bjjzxsy,2011-09-14 09:29:40.187,2011-09-14 09:29:40.187,1,BASE,bjjzxsy,B,B,B
