id,name,operator,updateTime,createTime,yn,providerId
1,SUPER,admin,2011-05-10 13:59:55.420,2011-05-10 13:59:55.420,1,1
2,清华同方管理员,管理员,2011-05-12 10:23:07.023,NULL,0,2
3,同方用户1,测试用的,2011-05-12 12:01:38.590,NULL,0,2
4,1111,112,2011-05-12 11:56:23.440,NULL,0,1
5,11,111,NULL,NULL,0,2
6,清华同方管理员角色1,,NULL,NULL,1,4
7,深圳铭键电子有限公司,深圳铭键电子有限公司,2012-09-13 16:31:49.487,NULL,1,5
8,同方用户角色1,,NULL,NULL,1,4
9,深圳普联管理员,,NULL,NULL,1,8
10,深圳普联用户角色,,NULL,NULL,1,8
11,北京蒙恬世纪数码科技有限公司,北京蒙恬世纪数码科技有限公司,2011-12-30 15:21:08.243,NULL,1,9
12,深圳市鹏力天管理员,,NULL,NULL,1,6
13,图书角色,图书信息维护,NULL,NULL,1,10
14,111111,,NULL,NULL,0,1
15,天润众和管理员,北京天润众和科技有限公司,2012-10-11 17:57:19.343,NULL,1,11
16,aigo,爱国者,NULL,NULL,1,12
17,aigo,爱国者,NULL,NULL,0,12
18,京东图书系统管理员,京东图书系统管理员,2011-07-25 15:15:28.990,NULL,1,14
19,图书主管,图书主管,2011-07-25 15:18:14.987,NULL,1,14
20,bjbmht,埃森客移动硬盘,NULL,NULL,1,0
21,bjbmht1,埃森客移动硬盘,NULL,NULL,0,17
22,bjbmht1,,NULL,NULL,1,18
23,1212,1212,2011-07-05 09:34:46.753,2011-07-05 09:34:46.753,0,1
24,深证市中远航管理员,深证市中远航管理员,2011-07-05 14:13:59.627,2011-07-05 14:13:59.627,1,20
25,联强国际贸易（中国）管理员,,2011-07-06 16:50:13.010,2011-07-05 20:48:51.047,1,22
26,admin1,admin1,2011-07-06 15:50:28.870,2011-07-06 15:50:28.870,1,1
27,惠州市赛洛特管理员,惠州市赛洛特管理员,2011-07-06 15:58:35.650,2011-07-06 15:58:35.650,1,23
28,联强国际北京公司手机用户,联强国际北京公司手机用户,2011-07-06 17:57:38.520,2011-07-06 17:57:38.520,1,22
29,深圳市多彩实业管理员,深圳市多彩实业管理员,2012-03-04 11:55:55.830,2011-07-08 14:56:23.600,1,24
30,惠州客音商务服务有限公司,TCL管理员,2011-11-10 20:02:44.570,2011-07-19 11:20:19.703,1,25
31,图书供应商用户,图书供应商用户,2011-07-25 15:30:50.430,2011-07-25 15:30:50.430,1,14
32,slt,订单管理员,2011-07-26 17:09:09.090,2011-07-26 17:09:09.090,0,23
33,slt,订单管理员,2011-07-26 18:27:17.767,2011-07-26 18:27:17.767,0,23
34,北京腾龙时代通管理员,北京腾龙时代通管理员,2011-07-28 14:32:31.920,2011-07-28 14:32:31.920,1,27
35,深圳市天音通信管理员,深圳市天音通信,2011-07-28 14:35:31.600,2011-07-28 14:35:31.600,1,26
36,消费电子管理员,消费电子管理员,2011-07-28 15:43:24.170,2011-07-28 15:43:24.170,1,1
37,普天太力管理员,普天太力管理员,2011-07-28 16:13:12.750,2011-07-28 16:13:12.750,1,28
38,普天太力用户,普天太力用户,2011-07-28 16:32:40.257,2011-07-28 16:31:43.873,1,28
39,汉王科技管理员,汉王科技管理员,2011-08-02 15:32:03.683,2011-08-02 15:32:03.683,1,29
40,广州凯网电子管理员, 广州凯网电子有限公司,2012-03-04 11:57:00.143,2011-08-03 10:18:38.387,1,30
41,bk0001管理员,上海世纪出版股份有限公司管理员,2011-08-04 17:38:22.640,2011-08-04 17:38:22.640,1,31
42,埃森客,埃森客品牌产品,2011-08-08 16:25:22.807,2011-08-08 16:25:22.807,1,18
43,多彩键鼠,多彩,2011-08-10 16:45:47.553,2011-08-10 16:45:47.553,1,24
44,bjzhangqi,消费电子管理员,2011-08-23 14:08:00.897,2011-08-23 14:08:00.897,1,1
45,飞毛腿电池管理员,,2011-11-10 09:47:37.873,2011-08-23 17:24:10.413,1,32
46,北京佳禾荟柏科技发展有限公司,自主下单,2011-08-24 19:32:26.733,2011-08-24 19:32:26.733,1,33
47,佛山市伟仕达-长帝管理员,长帝管理员,2012-03-15 17:37:33.667,2011-08-24 19:49:05.777,1,34
