id,userId,roleId,yn,createTime,updateTime
1,1,1,1,2011-05-10 14:00:03.383,2011-05-10 14:00:03.383
5,11,6,1,NULL,NULL
6,12,7,1,NULL,NULL
7,14,8,1,NULL,NULL
8,15,9,1,NULL,NULL
9,16,10,1,NULL,NULL
10,17,11,1,NULL,NULL
11,13,12,1,NULL,NULL
16,19,13,1,NULL,NULL
19,22,16,1,NULL,NULL
20,23,18,1,NULL,NULL
48,31,25,1,NULL,NULL
66,35,28,1,NULL,NULL
68,36,29,1,NULL,NULL
86,40,18,1,NULL,NULL
90,32,27,1,NULL,NULL
94,45,34,1,NULL,NULL
95,46,35,1,NULL,NULL
104,47,37,1,NULL,NULL
105,47,36,1,NULL,NULL
106,47,35,1,NULL,NULL
107,47,34,1,NULL,NULL
108,47,27,1,NULL,NULL
109,47,25,1,NULL,NULL
110,50,39,1,NULL,NULL
111,51,40,1,NULL,NULL
113,53,41,1,NULL,NULL
114,52,18,1,NULL,NULL
125,18,40,1,NULL,NULL
126,18,39,1,NULL,NULL
127,18,29,1,NULL,NULL
129,18,24,1,NULL,NULL
130,18,22,1,NULL,NULL
131,18,12,1,NULL,NULL
132,18,11,1,NULL,NULL
133,18,9,1,NULL,NULL
134,18,7,1,NULL,NULL
135,55,43,1,NULL,NULL
137,54,42,1,NULL,NULL
144,57,45,1,NULL,NULL
145,58,46,1,NULL,NULL
146,59,47,1,NULL,NULL
153,62,50,1,NULL,NULL
154,63,51,1,NULL,NULL
190,69,57,1,NULL,NULL
191,68,56,1,NULL,NULL
192,67,55,1,NULL,NULL
193,66,54,1,NULL,NULL
194,65,53,1,NULL,NULL
195,70,58,1,NULL,NULL
196,72,60,1,NULL,NULL
197,71,59,1,NULL,NULL
199,94,82,1,NULL,NULL
201,93,81,1,NULL,NULL
203,91,79,1,NULL,NULL
204,90,78,1,NULL,NULL
205,89,77,1,NULL,NULL
206,88,76,1,NULL,NULL
207,87,75,1,NULL,NULL
209,85,73,1,NULL,NULL
210,84,72,1,NULL,NULL
212,82,70,1,NULL,NULL
213,81,69,1,NULL,NULL
215,79,67,1,NULL,NULL
216,78,66,1,NULL,NULL
217,77,65,1,NULL,NULL
219,75,63,1,NULL,NULL
220,74,62,1,NULL,NULL
265,100,88,1,NULL,NULL
267,101,89,1,NULL,NULL
268,56,90,1,NULL,NULL
269,56,89,1,NULL,NULL
270,56,88,1,NULL,NULL
271,56,58,1,NULL,NULL
272,56,57,1,NULL,NULL
273,56,56,1,NULL,NULL
274,56,55,1,NULL,NULL
275,56,54,1,NULL,NULL
276,56,53,1,NULL,NULL
277,56,47,1,NULL,NULL
278,56,46,1,NULL,NULL
279,56,45,1,NULL,NULL
280,56,44,1,NULL,NULL
281,56,35,1,NULL,NULL
282,56,34,1,NULL,NULL
283,56,30,1,NULL,NULL
284,56,27,1,NULL,NULL
285,125,96,1,NULL,NULL
286,124,113,1,NULL,NULL
287,123,112,1,NULL,NULL
289,122,111,1,NULL,NULL
290,120,109,1,NULL,NULL
291,119,108,1,NULL,NULL
292,118,107,1,NULL,NULL
293,117,106,1,NULL,NULL
294,116,105,1,NULL,NULL
295,115,104,1,NULL,NULL
297,114,103,1,NULL,NULL
298,112,101,1,NULL,NULL
299,113,102,1,NULL,NULL
300,121,110,1,NULL,NULL
301,111,100,1,NULL,NULL
302,110,99,1,NULL,NULL
304,108,97,1,NULL,NULL
305,107,95,1,NULL,NULL
306,106,94,1,NULL,NULL
307,105,93,1,NULL,NULL
308,104,92,1,NULL,NULL
310,126,114,1,NULL,NULL
312,128,116,1,NULL,NULL
313,129,117,1,NULL,NULL
314,130,118,1,NULL,NULL
315,131,119,1,NULL,NULL
318,24,18,1,NULL,NULL
320,132,18,1,NULL,NULL
321,133,19,1,NULL,NULL
322,134,19,1,NULL,NULL
323,135,19,1,NULL,NULL
325,137,19,1,NULL,NULL
339,154,122,1,NULL,NULL
341,156,123,1,NULL,NULL
343,155,121,1,NULL,NULL
346,158,31,1,2011-10-17 13:53:59.647,NULL
350,161,31,1,2011-10-24 15:47:30.140,NULL
351,163,31,1,2011-10-24 16:25:54.123,NULL
352,165,125,1,2011-10-27 10:30:53.490,NULL
353,165,126,1,2011-10-27 10:31:42.320,NULL
355,166,128,1,2011-10-27 10:56:50.833,NULL
357,167,130,1,2011-10-28 15:20:29.567,NULL
358,56,130,1,2011-10-28 19:15:50.330,NULL
359,168,132,1,2011-11-01 15:18:33.920,NULL
361,170,134,1,2011-11-01 17:08:33.670,NULL
363,171,91,1,2011-11-07 15:26:53.870,NULL
364,171,92,1,2011-11-07 15:27:18.290,NULL
365,171,93,1,2011-11-07 15:27:42.657,NULL
366,171,94,1,2011-11-07 15:28:02.090,NULL
367,171,95,1,2011-11-07 15:31:34.443,NULL
368,172,97,1,2011-11-07 15:37:11.133,NULL
370,172,98,1,2011-11-07 15:38:15.337,NULL
371,172,99,1,2011-11-07 15:38:30.870,NULL
372,172,120,1,2011-11-07 15:38:48.280,NULL
375,174,100,1,2011-11-07 15:45:25.373,NULL
376,174,101,1,2011-11-07 15:45:40.570,NULL
377,174,102,1,2011-11-07 15:46:00.863,NULL
379,175,59,1,2011-11-07 15:52:09.800,NULL
380,175,110,1,2011-11-07 15:52:27.120,NULL
381,175,111,1,2011-11-07 15:52:41.477,NULL
382,175,112,1,2011-11-07 15:53:00.160,NULL
383,175,113,1,2011-11-07 15:53:21.903,NULL
385,176,106,1,2011-11-07 15:56:00.303,NULL
386,176,107,1,2011-11-07 15:56:17.030,NULL
388,177,103,1,2011-11-07 15:58:53.667,NULL
391,179,105,1,2011-11-07 16:03:41.113,NULL
393,180,109,1,2011-11-07 16:06:10.597,NULL
394,179,104,1,2011-11-07 16:08:41.880,NULL
395,181,146,1,2011-11-08 10:04:08.080,NULL
396,182,147,1,2011-11-08 10:09:23.600,NULL
397,183,148,1,2011-11-08 10:16:41.770,NULL
398,184,149,1,2011-11-08 10:22:18.003,NULL
400,188,153,1,2011-11-08 15:24:36.320,NULL
401,189,154,1,2011-11-08 15:29:19.477,NULL
402,190,156,1,2011-11-09 10:17:42.097,NULL
404,192,158,1,2011-11-10 09:20:26.660,NULL
405,193,159,1,2011-11-10 09:46:10.300,NULL
406,186,151,1,2011-11-10 09:50:34.617,NULL
407,195,31,1,2011-11-16 14:34:15.603,NULL
409,198,162,1,2011-11-16 19:50:51.807,NULL
411,199,164,1,2011-11-21 17:26:14.553,NULL
412,201,31,1,2011-11-22 09:53:23.970,NULL
413,202,31,1,2011-11-22 09:58:22.220,NULL
414,200,165,1,2011-11-22 10:47:01.937,NULL
415,56,165,1,2011-11-22 10:54:39.257,NULL
416,203,31,1,2011-11-22 10:57:50.567,NULL
419,87,31,1,2011-11-22 11:13:22.700,NULL
420,206,31,1,2011-11-22 11:14:35.823,NULL
423,209,31,1,2011-11-22 11:16:49.957,NULL
424,210,31,1,2011-11-22 11:17:25.940,NULL
425,211,31,1,2011-11-22 11:17:52.040,NULL
426,212,31,1,2011-11-22 11:18:46.200,NULL
427,213,31,1,2011-11-22 11:19:00.463,NULL
428,214,31,1,2011-11-22 11:19:19.213,NULL
429,216,31,1,2011-11-22 11:19:50.797,NULL
430,215,31,1,2011-11-22 11:20:12.260,NULL
431,217,31,1,2011-11-22 11:20:16.477,NULL
432,218,31,1,2011-11-22 11:21:04.023,NULL
433,219,31,1,2011-11-22 11:21:05.310,NULL
434,220,31,1,2011-11-22 11:21:53.353,NULL
435,221,31,1,2011-11-22 11:22:12.290,NULL
436,222,31,1,2011-11-22 11:22:24.470,NULL
437,223,31,1,2011-11-22 11:24:13.163,NULL
438,224,31,1,2011-11-22 11:24:43.460,NULL
440,226,31,1,2011-11-22 11:26:20.800,NULL
443,229,31,1,2011-11-22 11:30:58.353,NULL
444,230,31,1,2011-11-22 11:36:06.330,NULL
445,231,31,1,2011-11-22 11:36:32.817,NULL
446,232,31,1,2011-11-22 11:37:08.020,NULL
447,233,31,1,2011-11-22 11:37:35.057,NULL
448,234,166,1,2011-11-22 13:09:06.037,NULL
449,235,167,1,2011-11-22 13:10:35.517,NULL
450,236,168,1,2011-11-22 13:21:00.243,NULL
451,237,169,1,2011-11-22 13:22:08.590,NULL
452,238,31,1,2011-11-22 13:23:25.323,NULL
453,240,31,1,2011-11-22 13:25:12.047,NULL
454,239,170,1,2011-11-22 13:25:25.270,NULL
455,241,31,1,2011-11-22 13:25:36.153,NULL
456,243,31,1,2011-11-22 13:27:30.187,NULL
457,244,31,1,2011-11-22 13:28:08.443,NULL
458,245,31,1,2011-11-22 13:28:51.710,NULL
459,246,31,1,2011-11-22 13:29:28.980,NULL
460,248,31,1,2011-11-22 13:30:07.267,NULL
461,247,171,1,2011-11-22 13:31:48.103,NULL
462,248,31,1,2011-11-22 13:32:14.140,NULL
463,249,31,1,2011-11-22 13:32:53.353,NULL
464,250,31,1,2011-11-22 13:33:25.630,NULL
466,252,172,1,2011-11-22 13:34:52.240,NULL
467,254,31,1,2011-11-22 13:35:35.227,NULL
468,255,173,1,2011-11-22 13:37:32.357,NULL
469,258,31,1,2011-11-22 13:39:10.963,NULL
470,257,174,1,2011-11-22 13:39:21.110,NULL
471,242,31,1,2011-11-22 13:39:24.330,NULL
472,259,31,1,2011-11-22 13:39:55.850,NULL
473,260,31,1,2011-11-22 13:40:21.533,NULL
474,261,31,1,2011-11-22 13:40:51.297,NULL
475,262,31,1,2011-11-22 13:41:16.113,NULL
476,264,31,1,2011-11-22 13:42:01.150,NULL
477,263,175,1,2011-11-22 13:42:06.627,NULL
478,265,176,1,2011-11-22 13:43:19.100,NULL
479,266,31,1,2011-11-22 13:43:25.980,NULL
480,267,31,1,2011-11-22 13:44:28.983,NULL
481,268,31,1,2011-11-22 13:44:53.713,NULL
483,270,31,1,2011-11-22 13:45:47.263,NULL
484,272,31,1,2011-11-22 13:46:13.347,NULL
485,271,177,1,2011-11-22 13:46:15.140,NULL
486,273,31,1,2011-11-22 13:46:38.710,NULL
487,274,31,1,2011-11-22 13:47:44.367,NULL
488,275,31,1,2011-11-22 13:48:11.390,NULL
490,277,31,1,2011-11-22 13:48:57.720,NULL
492,56,166,1,2011-11-22 13:49:38.040,NULL
494,56,167,1,2011-11-22 13:50:31.193,NULL
495,280,31,1,2011-11-22 13:50:32.337,NULL
496,281,31,1,2011-11-22 13:50:55.690,NULL
497,56,168,1,2011-11-22 13:51:02.017,NULL
498,56,169,1,2011-11-22 13:51:16.600,NULL
499,282,31,1,2011-11-22 13:51:28.203,NULL
500,56,170,1,2011-11-22 13:51:28.543,NULL
501,56,171,1,2011-11-22 13:51:40.147,NULL
502,56,172,1,2011-11-22 13:51:53.340,NULL
503,56,173,1,2011-11-22 13:52:04.450,NULL
504,56,174,1,2011-11-22 13:52:16.167,NULL
505,56,175,1,2011-11-22 13:52:27.157,NULL
506,283,31,1,2011-11-22 13:52:35.980,NULL
507,56,176,1,2011-11-22 13:52:38.380,NULL
508,56,177,1,2011-11-22 13:52:50.930,NULL
509,284,31,1,2011-11-22 13:52:58.113,NULL
510,285,31,1,2011-11-22 13:53:20.283,NULL
511,286,31,1,2011-11-22 13:54:02.200,NULL
512,287,31,1,2011-11-22 13:54:26.013,NULL
513,288,31,1,2011-11-22 13:54:47.187,NULL
514,289,31,1,2011-11-22 13:55:29.903,NULL
515,290,31,1,2011-11-22 13:56:09.233,NULL
516,291,31,1,2011-11-22 13:56:58.327,NULL
518,293,31,1,2011-11-22 13:58:56.093,NULL
519,294,31,1,2011-11-22 13:59:34.697,NULL
520,295,31,1,2011-11-22 13:59:58.310,NULL
521,296,31,1,2011-11-22 14:00:56.740,NULL
522,297,31,1,2011-11-22 14:01:19.880,NULL
523,298,31,1,2011-11-22 14:02:04.403,NULL
524,299,31,1,2011-11-22 14:02:28.813,NULL
525,300,31,1,2011-11-22 14:33:48.807,NULL
526,301,31,1,2011-11-22 14:34:59.320,NULL
527,303,180,1,2011-11-23 20:59:19.817,NULL
533,302,179,1,2011-11-30 10:09:44.637,NULL
535,308,184,1,2011-11-30 15:13:15.310,NULL
536,309,185,1,2011-11-30 15:49:44.880,NULL
537,307,186,1,2011-11-30 16:24:30.843,NULL
538,310,187,1,2011-12-01 10:01:58.113,NULL
539,56,187,1,2011-12-01 10:25:49.777,NULL
545,302,192,1,2011-12-01 17:24:40.567,NULL
546,318,195,1,2011-12-02 10:41:04.487,NULL
547,319,196,1,2011-12-02 10:58:28.557,NULL
548,320,197,1,2011-12-02 11:06:06.770,NULL
549,321,198,1,2011-12-02 11:08:23.713,NULL
550,322,199,1,2011-12-02 11:09:42.013,NULL
551,323,200,1,2011-12-02 11:12:30.797,NULL
552,324,201,1,2011-12-02 11:14:24.723,NULL
553,325,202,1,2011-12-02 11:15:50.773,NULL
555,328,205,1,2011-12-02 11:28:00.380,NULL
556,329,206,1,2011-12-02 11:32:20.220,NULL
557,330,207,1,2011-12-02 11:33:53.413,NULL
558,331,208,1,2011-12-02 11:35:20.077,NULL
559,332,31,1,2011-12-02 11:36:46.873,NULL
560,333,31,1,2011-12-02 11:37:19.133,NULL
561,334,31,1,2011-12-02 11:37:52.660,NULL
562,335,31,1,2011-12-02 11:39:38.013,NULL
563,336,31,1,2011-12-02 11:40:03.273,NULL
566,339,31,1,2011-12-02 13:43:52.370,NULL
567,340,31,1,2011-12-02 13:57:03.023,NULL
568,341,31,1,2011-12-02 13:57:33.687,NULL
569,342,31,1,2011-12-02 13:58:02.613,NULL
570,343,31,1,2011-12-02 13:59:51.860,NULL
572,345,31,1,2011-12-02 14:01:23.333,NULL
573,346,31,1,2011-12-02 14:01:45.133,NULL
574,347,31,1,2011-12-02 14:02:10.013,NULL
576,349,31,1,2011-12-02 14:02:53.570,NULL
577,350,31,1,2011-12-02 14:03:23.557,NULL
578,351,31,1,2011-12-02 14:12:36.880,NULL
579,352,31,1,2011-12-02 14:17:34.530,NULL
580,353,31,1,2011-12-02 14:18:22.020,NULL
581,354,31,1,2011-12-02 14:19:23.010,NULL
582,355,31,1,2011-12-02 14:19:53.580,NULL
584,357,31,1,2011-12-02 14:21:16.460,NULL
585,358,31,1,2011-12-02 14:21:38.897,NULL
587,360,31,1,2011-12-02 14:22:32.567,NULL
588,361,31,1,2011-12-02 14:24:00.040,NULL
590,363,31,1,2011-12-02 14:29:54.023,NULL
591,364,31,1,2011-12-02 14:30:15.997,NULL
592,365,31,1,2011-12-02 14:30:45.337,NULL
593,366,31,1,2011-12-02 14:31:09.693,NULL
595,368,31,1,2011-12-02 14:31:58.127,NULL
596,369,31,1,2011-12-02 14:32:26.580,NULL
598,371,31,1,2011-12-02 14:33:11.973,NULL
599,372,31,1,2011-12-02 14:33:36.527,NULL
601,374,31,1,2011-12-02 14:41:37.257,NULL
602,375,31,1,2011-12-02 14:41:58.180,NULL
605,379,31,1,2011-12-02 14:46:25.087,NULL
606,380,31,1,2011-12-02 14:47:03.747,NULL
607,381,31,1,2011-12-02 14:47:27.657,NULL
608,382,31,1,2011-12-02 14:47:58.673,NULL
609,383,31,1,2011-12-02 14:48:59.990,NULL
610,384,31,1,2011-12-02 14:50:23.783,NULL
613,387,31,1,2011-12-02 15:35:34.067,NULL
614,388,31,1,2011-12-02 15:36:10.780,NULL
615,389,31,1,2011-12-02 15:36:59.083,NULL
616,390,31,1,2011-12-02 15:40:01.040,NULL
618,392,31,1,2011-12-02 15:43:29.880,NULL
